//Affiliate Module Fontend
"My Affiliate Account", "Oficina Virtual"
"My Account Info", "Información de mi Cuenta"
"My Account Info", "Información de mi Cuenta"
"My Credit", "Mi credito"
"My Binary Account", "Binario"
"My Uninivel Account", "Uninivel"
"My Affiliate Detail", "Detalle de Afiliado"
"My Withdrawal", "Mis Retiros"
"My Invitations", "Mis Invitaciones"
"My Affiliate Banners", "Mis folletos y papelería"
"My Affiliate Orders", "Reporte de Ventas de Afiliados"
"My Reports", "Mis Reportes"
"My Programs", "Mis programas"
"Signup Referral", "Inscripcion referida"
"Sale Date", "Fecha de Venta"
"Points", "Puntos"
"Type", "Tipo de Compra"
"Order Description", "Descripci&oacute;n"
"My Affiliate Programs", "Mis Programas"
"My Affiliate Network", "Mi Red"
"My Affiliate Network Binary", "Mi Red Binario"
"Affiliate Network", "Mi Red"
"My Affiliate Websites", "Mis Sitios a compartir"
"My Affiliate Widget", "Mis anuncios publicitarios web"
"My Affiliate Tree", "Mis Ramificaciones"
"My Transaction History", "Mis Transacciones"
"Distributor", "Distribuidor"
"Preferred Customer", "Cliente Preferente"
"Enabled", "Activo"
"Net Amount", "Cantidad"
"View History", "Ver Historial"
"Request Withdrawn", "Solicitar Retiro"
"* Note: Affiliate may use balance as store credit in shopping cart.", "* Nota: Los Afiliados pueden usar el saldo como credito en la tienda."
"Edit", "Editar"
"*Auto payment when account balance reaches ", "*Pago automatico cuando el balance alcance "
"Commission Type", "Tipo de Comisión"
"Referral Purchase", "Compra Referida"
"Bank Name:", "Nombre del banco:"
"Name on account:", "Titular:"
"Bank Country:", "Pais:"
"SWIFT code:", "Codigo SWIFT:"
"Account Number:", "Numero de Cuenta:"
"Total Clicks:", "Total de Clicks"
"Affiliate Banners", "Banners"
"Commission Earned *", "Comision Ganada *"
"Customer Discount *", "Descuento *"
"Joined Date", "Fecha de Inicio"
"Title:", "Titulo:"
"Width:", "Ancho:"
"Color Scheme:", "Color:"
"Show Border:", "Borde:"
"Yes","Si"
"No", "No"
"Product Information","Informacion del Producto"
"Number of products:", "Numero de Productos"
"Select by bestseller", "Mas Vendidos"
"Select by new products", "Nuevos Productos"
"Select by category", "Por Categoria"
"Get code", "Codigo"
"light", "Claro"
"dark", "Oscuro"
"Please copy and insert the code above to your website", "Copia y pega este codigo en tu sitio web."
"* per qualified transaction.","* por transaccion calificada"
"No Affiliate Network Found", "No hay Redes"
"Your Affiliate Account has been activated", "Tu Oficina Virtual ha sido activada"
"My Custom Url", "Link de mi Oficina Virtual"
"Custom URL", "Link de mi Oficina Virtual"
"Affiliate Custom URL", "Link de mi Oficina Virtual"
"The URL is already taken", "La URL ya esta en uso"
