//credit Module

"My Credit", "Mi credito"

// tab my credit trong credit va affiliate
"Hide", "Esconder"
"Show", "Mostrar"
"Credit Manager", "Administrador de credito"
"Credit Information", "Información de crédito"
"Current Balance: <b>%s</b>", "Balance actual: <b>%s</b>"
"Transaction History", "Historial de transacción"
"No Credit Transaction History Found", "No hay historial de trasacciones con credito"
"Date", "Fecha"
"Amount", "Monto"
"Balance", "Balance"
"Transaction Detail", "Detalle de transacción"
"Changed By Admin", "Cambiado por administrador"
"Use Credit to Checkout", "Usar credito para pagar"
"Canceled Order using Credit", "Cancelar orden usando credito"
"Withdraw", "Retiro"
"Canceled Withdraw", "Retiro cancelado"
"Referred Customer Buys Product", "Cliente referido compra el producto"
"Referred Customer Refunds Product", "Cliente referido reembolsa el producto"
"You used credit to checkout order : <b><a href=%s>#%s</a></b>", "Uso credito para pagar orden : <b><a href=%s>#%s</a></b>"
"You canceled order : <b><a href=%s>#%s</a></b>, checkout by credit", "Cancelo orden : <b><a href=%s>#%s</a></b>, pagada con credito"
"Commission from order: <b>#%s</b>", "Comisión de orden: <b>#%s</b>"
"Commission from order : <b><a href=%s>#%s</a></b>", "Comisión de orden : <b><a href=%s>#%s</a></b>"
"Commission from order: #%s", "Comisión de orden: #%s"
"Customer granted refund. Order <b>#%s</b>. Affiliate commission reversed.", "Cliente otorgo reembolso. Orden <b>#%s</b>. Comisión de afiliado revertida."
"Withdrawal money: <b>%s</b> (Processing Fee: <b>%s</b>)", "Retiro dinero: <b>%s</b> (Cuota procesamiento: <b>%s</b>)"
"Canceled withdrawal money: <b>%s</b> (Processing Fee: <b>%s</b>)", "Cancelacion de retiro de dinero: <b>%s</b> (Cuota procesamiento: <b>%s</b>)"
"Affiliate Discount", "Descuento de afiliado"
"Credit Discount", "Descuento credito"
"Canceled Commission Withdrawal: <b>%s</b> (Processing Fee: <b>%s</b>)", "Comisión de Retiro Cancelado: <b>%s</b> (Cargo por procesamiento: <b>%s<b>)"
"Commission Withdrawal: <b>%s</b> (Processing Fee: <b>%s</b>)", "Comisión por Retiro: <b>%s</b> (Cargo por procesamiento: <b>%s</b>)"

// tab checkout by credit
"Referral Code", "Numero de colocación"
"Enter your referral code if you have.", "Capture el código de quien lo refirió si cuenta con el"
"Apply Code", "Aplicar Código"
"Cancel Code", "Cancelar Código"
"Enter your credit if you have.", "Capture credito si cuenta con el"
"Enter your credit here", "Capture su credito"
"Apply Credit", "Aplicar Credito"
"Cancel Credit", "Cancelar Credito"
"Credit Cart", "Credito Carrito compras"
"Use Credit", "Usar Credito"
"The referral code is invalid.", "El Código referido es invalido"
"The referral code was applied successfully.", "El código referido fue aplicado correctamente"
"The referral code has been cancelled successfully.", "El Código referido ha sido cancelado exitosamente"
"Can not apply the referral code.", "No se pudo aplicar el código de referido"
"You must login to use this function", "Debe iniciar sesión para usar esta función"
"You must join our Affiliate to use this function", "Debe unirse a nuestro programa de afiliación para poder usar esta función"
"Affiliate Account was disabled, please contact us to solve this problem.", "La cuenta de afiliación fue deshabilitada por favor contáctenos para resolver el problema"
"Your entered amount (%s) is greater than grand total.", "Capturo la cantidad de (%s) que es mayor que el total."
"Your entered amount (%s) is greater than subtotal.", "Capturo la cantidad (%s) que es mayor que el subtotal."
"Your balance is not enough "%s".", "Su balance es insuficiente "%s"."
"Maximum amount of credit to checkout is "%s". Please insert a number that must be less than or equal "%s"", "El limite de credito para pagar es "%s". Favor de capturar una cantidad que sea menor o igual a "%s""
"Credit "%s" was applied successfully.", "Credito "%s" aplicado exitosamente."
"The credit has cancelled successfully.", "El credito ha sido cancelado exitosamente."
"Can not apply credit.", "No se pudo aplicar el credito."
"My Credit", "Mi Credito"

// tab configuration
"Options", "Opciones"
"Show credit discount on shopping cart", "Mostrar el descuento por credito en el carrito de compra"
"Max amount of credit to checkout", "Limite de credito para pagar"
"Customer can use credit to checkout but not over this amount. Input 0 or leave empty if no limitation", "El cliente puede usar el crédito para pagar, pero no más de esta cantidad. Entrada 0 o dejar en blanco si no hay limitación"

"Enabled","Activo"
"Manual Payout", "Pago Manual"
"No website found", "No hay sitios"
"Affiliate Network", "Redes Afiliados"
"Affiliate Websites", "Sitios Afiliados"
"Affiliate Programs", "Programas Afiliados"
"No Sub-affiliate found", "No hay Afiliados"
"Level", "Nivel"
"Joinded Date", "Fecha"
"Pending", "Pendiente" 
